PRINCÍPIO ATIVO,CNPJ,LABORATÓRIO,CÓDIGO GGREM
21-ACETATO DE DEXAMETASONA;CLOTRIMAZOL,18.459.628/0001-15,BAYER S.A.,538912020009303
ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505107701157215
ABCIXIMABE,51.780.468/0001-87,JANSSEN-CILAG FARMACÊUTICA LTDA,514517110034217
ABEMACICLIBE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507619060021902
ACALABRUTINIBE,60.318.797/0001-00,ASTRAZENECA DO BRASIL LTDA,502319040034002
ACARBOSE,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531619040086803
ACEBROFILINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508017401132117
ACECLOFENACO,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508011303163310
ACEPONATO DE METILPREDNISOLONA,18.459.628/0001-15,BAYER S.A.,538912050016413
ACETATO DE ABIRATERONA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523719020039704
ACETATO DE ATOSIBANA,74.232.034/0001-48,LABORATÓRIOS FERRING LTDA,521401102151314
ACETATO DE BAZEDOXIFENO;ESTROGÊNIOS CONJUGADOS,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522718110082501
ACETATO DE BUSSERRELINA,02.685.377/0001-57,SANOFI-AVENTIS FARMACÊUTICA LTDA,502811901171315
ACETATO DE CASPOFUNGINA,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525500301155311
ACETATO DE CETRORRELIX,33.069.212/0001-84,MERCK S/A,525421701150311
ACETATO DE CIPROTERONA,60.665.981/0001-18,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,533009501116410
ACETATO DE CIPROTERONA;ETINILESTRADIOL,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508014103114418
ACETATO DE CLORMADINONA;ETINILESTRADIOL,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508020070132607
